,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
v_subj(pos.Co).48,2.696,0.284,2.176,3.229,0.005,0.003,3632.0,6093.0,1.0
v_subj(pos.Co).49,3.76,0.384,3.049,4.42,0.01,0.008,2025.0,1758.0,1.0
v_subj(pos.Co).50,3.385,0.359,2.733,4.02,0.008,0.007,3263.0,3009.0,1.0
v_subj(pos.Co).51,2.951,0.302,2.418,3.515,0.007,0.005,2629.0,1818.0,1.0
v_subj(pos.Co).52,1.647,0.21,1.256,2.013,0.004,0.003,3864.0,3353.0,1.0
v_subj(pos.Ic).0,2.787,0.317,2.203,3.379,0.005,0.004,3747.0,4784.0,1.0
v_subj(pos.Ic).1,3.438,0.376,2.731,4.135,0.007,0.005,3220.0,5900.0,1.0
v_subj(pos.Ic).2,3.912,0.44,3.135,4.716,0.013,0.011,1933.0,1168.0,1.0
v_subj(pos.Ic).3,3.836,0.35,3.187,4.486,0.007,0.005,2747.0,4543.0,1.0
v_subj(pos.Ic).4,3.481,0.327,2.873,4.069,0.006,0.005,3434.0,3134.0,1.0
v_subj(pos.Ic).5,1.79,0.225,1.383,2.232,0.002,0.002,8315.0,11516.0,1.0
v_subj(pos.Ic).6,3.917,0.362,3.259,4.56,0.01,0.008,2725.0,1830.0,1.0
v_subj(pos.Ic).7,4.012,0.401,3.286,4.784,0.007,0.005,3703.0,5536.0,1.0
v_subj(pos.Ic).8,3.014,0.373,2.334,3.662,0.012,0.009,1795.0,948.0,1.0
v_subj(pos.Ic).9,3.8,0.348,3.153,4.454,0.005,0.003,5590.0,8268.0,1.0
v_subj(pos.Ic).10,3.506,0.415,2.777,4.31,0.008,0.006,3216.0,4094.0,1.0
v_subj(pos.Ic).11,4.47,0.437,3.662,5.248,0.011,0.009,2128.0,1875.0,1.0
v_subj(pos.Ic).12,2.794,0.295,2.246,3.355,0.004,0.003,4906.0,6686.0,1.0
v_subj(pos.Ic).13,1.7,0.232,1.269,2.127,0.003,0.002,6101.0,7863.0,1.0
v_subj(pos.Ic).14,3.346,0.36,2.694,3.987,0.009,0.007,2707.0,1316.0,1.0
v_subj(pos.Ic).15,4.601,0.519,3.703,5.501,0.017,0.014,2122.0,1223.0,1.0
v_subj(pos.Ic).16,3.238,0.47,2.392,4.139,0.006,0.005,5310.0,9247.0,1.0
v_subj(pos.Ic).17,3.187,0.339,2.558,3.796,0.005,0.004,5296.0,5748.0,1.0
v_subj(pos.Ic).18,3.427,0.421,2.71,4.115,0.014,0.012,3487.0,1548.0,1.0
v_subj(pos.Ic).19,3.765,0.394,3.032,4.472,0.009,0.007,2632.0,1854.0,1.0
v_subj(pos.Ic).20,3.921,0.382,3.232,4.642,0.009,0.007,2515.0,1842.0,1.0
v_subj(pos.Ic).21,2.318,0.326,1.759,2.971,0.004,0.003,5450.0,8788.0,1.0
v_subj(pos.Ic).22,1.86,0.294,1.295,2.39,0.003,0.002,8563.0,10749.0,1.0
v_subj(pos.Ic).23,2.673,0.357,2.012,3.304,0.007,0.006,3975.0,4581.0,1.0
